kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_nama_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,waktu_tempuh_puskes_inap,satuan,tahun,id
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215130.0,TEMPURAN,3215130006.0,PAGADUNGAN,32.15.20,TEMPURAN,32.15.20.2012,PAGADUNGAN,15.0,MENIT,2021.0,15389
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215130.0,TEMPURAN,3215130009.0,TEMPURAN,32.15.20,TEMPURAN,32.15.20.2013,TEMPURAN,10.0,MENIT,2021.0,15390
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215130.0,TEMPURAN,3215130011.0,CIKUNTUL,32.15.20,TEMPURAN,32.15.20.2014,CIKUNTUL,15.0,MENIT,2021.0,15391
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215130.0,TEMPURAN,3215130008.0,JAYANEGARA,32.15.20,TEMPURAN,32.15.20.2016,JAYANEGARA,30.0,MENIT,2021.0,15392
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215130.0,TEMPURAN,3215130010.0,CIPARAGEJAYA,32.15.20,TEMPURAN,32.15.20.2017,CIPARAGEJAYA,20.0,MENIT,2021.0,15393
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215111.0,MAJALAYA,3215111002.0,MAJALAYA,32.15.21,MAJALAYA,32.15.21.2001,MAJALAYA,0.0,MENIT,2021.0,15394
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215111.0,MAJALAYA,3215111003.0,CIRANGGON,32.15.21,MAJALAYA,32.15.21.2002,CIRANGGON,0.0,MENIT,2021.0,15395
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215111.0,MAJALAYA,3215111001.0,PASIRJENGKOL,32.15.21,MAJALAYA,32.15.21.2003,PASIRJENGKOL,120.0,MENIT,2021.0,15396
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215111.0,MAJALAYA,3215111004.0,SARIJAYA,32.15.21,MAJALAYA,32.15.21.2005,SARIJAYA,0.0,MENIT,2021.0,15397
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215111.0,MAJALAYA,3215111007.0,PASIRMULYA,32.15.21,MAJALAYA,32.15.21.2006,PASIRMULYA,0.0,MENIT,2021.0,15398
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215111.0,MAJALAYA,3215111006.0,LEMAHMULYA,32.15.21,MAJALAYA,32.15.21.2007,LEMAHMULYA,0.0,MENIT,2021.0,15399
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215111.0,MAJALAYA,3215111005.0,BANGLE,32.15.21,MAJALAYA,32.15.21.2008,BANGLE,0.0,MENIT,2021.0,15400
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215151.0,JAYAKERTA,3215151003.0,JAYAMAKMUR,32.15.22,JAYAKERTA,32.15.22.2001,JAYAMAKMUR,5.0,MENIT,2021.0,15401
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215151.0,JAYAKERTA,3215151001.0,KEMIRI,32.15.22,JAYAKERTA,32.15.22.2002,KEMIRI,5.0,MENIT,2021.0,15402
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215151.0,JAYAKERTA,3215151002.0,MAKMURJAYA,32.15.22,JAYAKERTA,32.15.22.2003,MAKMURJAYA,5.0,MENIT,2021.0,15403
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215151.0,JAYAKERTA,3215151005.0,KERTAJAYA,32.15.22,JAYAKERTA,32.15.22.2004,KERTAJAYA,10.0,MENIT,2021.0,15404
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215151.0,JAYAKERTA,3215151004.0,JAYAKERTA,32.15.22,JAYAKERTA,32.15.22.2005,JAYAKERTA,15.0,MENIT,2021.0,15405
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215151.0,JAYAKERTA,3215151007.0,MEDANGASEM,32.15.22,JAYAKERTA,32.15.22.2006,MEDANGASEM,5.0,MENIT,2021.0,15406
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215151.0,JAYAKERTA,3215151006.0,CIPTAMARGA,32.15.22,JAYAKERTA,32.15.22.2007,CIPTAMARGA,15.0,MENIT,2021.0,15407
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215151.0,JAYAKERTA,3215151008.0,KAMPUNGSAWAH,32.15.22,JAYAKERTA,32.15.22.2008,KAMPUNGSAWAH,15.0,MENIT,2021.0,15408
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215082.0,CILAMAYA KULON,3215082005.0,SUKAMULYA,32.15.23,CILAMAYA KULON,32.15.23.2001,SUKAMULYA,10.0,MENIT,2021.0,15409
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215082.0,CILAMAYA KULON,3215082010.0,TEGALURUNG,32.15.23,CILAMAYA KULON,32.15.23.2002,TEGALURUNG,20.0,MENIT,2021.0,15410
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215082.0,CILAMAYA KULON,3215082004.0,LANGENSARI,32.15.23,CILAMAYA KULON,32.15.23.2003,LANGENSARI,12.0,MENIT,2021.0,15411
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215082.0,CILAMAYA KULON,3215082003.0,BAYUR LOR,32.15.23,CILAMAYA KULON,32.15.23.2004,BAYUR LOR,25.0,MENIT,2021.0,15412
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215082.0,CILAMAYA KULON,3215082002.0,BAYUR KIDUL,32.15.23,CILAMAYA KULON,32.15.23.2005,BAYUR KIDUL,25.0,MENIT,2021.0,15413
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215082.0,CILAMAYA KULON,3215082001.0,KIARA,32.15.23,CILAMAYA KULON,32.15.23.2006,KIARA,25.0,MENIT,2021.0,15414
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215082.0,CILAMAYA KULON,3215082011.0,MANGGUNGJAYA,32.15.23,CILAMAYA KULON,32.15.23.2007,MANGGUNGJAYA,25.0,MENIT,2021.0,15415
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215082.0,CILAMAYA KULON,3215082012.0,SUMURGEDE,32.15.23,CILAMAYA KULON,32.15.23.2008,SUMURGEDE,5.0,MENIT,2021.0,15416
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215082.0,CILAMAYA KULON,3215082009.0,MUKTIJAYA,32.15.23,CILAMAYA KULON,32.15.23.2009,MUKTIJAYA,15.0,MENIT,2021.0,15417
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215082.0,CILAMAYA KULON,3215082006.0,PASIRUKEM,32.15.23,CILAMAYA KULON,32.15.23.2010,PASIRUKEM,5.0,MENIT,2021.0,15418
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215082.0,CILAMAYA KULON,3215082008.0,PASIRJAYA,32.15.23,CILAMAYA KULON,32.15.23.2011,PASIRJAYA,25.0,MENIT,2021.0,15419
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215082.0,CILAMAYA KULON,3215082007.0,SUKAJAYA,32.15.23,CILAMAYA KULON,32.15.23.2012,SUKAJAYA,5.0,MENIT,2021.0,15420
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215071.0,BANYUSARI,3215071007.0,GEMBONGAN,32.15.24,BANYUSARI,32.15.24.2001,GEMBONGAN,8.0,MENIT,2021.0,15421
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215071.0,BANYUSARI,3215071006.0,GEMPOL,32.15.24,BANYUSARI,32.15.24.2002,GEMPOL,6.0,MENIT,2021.0,15422
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215071.0,BANYUSARI,3215071005.0,GEMPOL KOLOT,32.15.24,BANYUSARI,32.15.24.2003,GEMPOL KOLOT,6.0,MENIT,2021.0,15423
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215071.0,BANYUSARI,3215071009.0,BANYUASIH,32.15.24,BANYUSARI,32.15.24.2004,BANYUASIH,10.0,MENIT,2021.0,15424
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215071.0,BANYUSARI,3215071012.0,KERTARAHARJA,32.15.24,BANYUSARI,32.15.24.2005,KERTARAHARJA,0.0,MENIT,2021.0,15425
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215071.0,BANYUSARI,3215071011.0,TANJUNG,32.15.24,BANYUSARI,32.15.24.2006,TANJUNG,0.0,MENIT,2021.0,15426
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215071.0,BANYUSARI,3215071004.0,JAYAMUKTI,32.15.24,BANYUSARI,32.15.24.2007,JAYAMUKTI,10.0,MENIT,2021.0,15427
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215071.0,BANYUSARI,3215071003.0,CICINDE UTARA,32.15.24,BANYUSARI,32.15.24.2008,CICINDE UTARA,10.0,MENIT,2021.0,15428
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215071.0,BANYUSARI,3215071002.0,CICINDE SELATAN,32.15.24,BANYUSARI,32.15.24.2009,CICINDE SELATAN,8.0,MENIT,2021.0,15429
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215071.0,BANYUSARI,3215071008.0,MEKARASIH,32.15.24,BANYUSARI,32.15.24.2010,MEKARASIH,15.0,MENIT,2021.0,15430
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215071.0,BANYUSARI,3215071010.0,TALUNJAYA,32.15.24,BANYUSARI,32.15.24.2011,TALUNJAYA,0.0,MENIT,2021.0,15431
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215071.0,BANYUSARI,3215071001.0,PAMEKARAN,32.15.24,BANYUSARI,32.15.24.2012,PAMEKARAN,129.0,MENIT,2021.0,15432
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215072.0,KOTA BARU,3215072007.0,WANCIMEKAR,32.15.25,KOTA BARU,32.15.25.2001,WANCIMEKAR,10.0,MENIT,2021.0,15433
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215072.0,KOTA BARU,3215072004.0,PANGULAH SELATAN,32.15.25,KOTA BARU,32.15.25.2002,PANGULAH SELATAN,0.0,MENIT,2021.0,15434
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215072.0,KOTA BARU,3215072005.0,PANGULAH UTARA,32.15.25,KOTA BARU,32.15.25.2003,PANGULAH UTARA,0.0,MENIT,2021.0,15435
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215072.0,KOTA BARU,3215072006.0,PANGULAH BARU,32.15.25,KOTA BARU,32.15.25.2004,PANGULAH BARU,0.0,MENIT,2021.0,15436
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215072.0,KOTA BARU,3215072008.0,PUCUNG,32.15.25,KOTA BARU,32.15.25.2005,PUCUNG,0.0,MENIT,2021.0,15437
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215072.0,KOTA BARU,3215072003.0,JOMIN TIMUR,32.15.25,KOTA BARU,32.15.25.2006,JOMIN TIMUR,0.0,MENIT,2021.0,15438
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215072.0,KOTA BARU,3215072002.0,JOMIN BARAT,32.15.25,KOTA BARU,32.15.25.2007,JOMIN BARAT,15.0,MENIT,2021.0,15439
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215072.0,KOTA BARU,3215072001.0,SARIMULYA,32.15.25,KOTA BARU,32.15.25.2008,SARIMULYA,0.0,MENIT,2021.0,15440
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215072.0,KOTA BARU,3215072009.0,CILKAMPEK UTARA,32.15.25,KOTA BARU,32.15.25.2009,CILKAMPEK UTARA,1.0,MENIT,2021.0,15441
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215112.0,KARAWANG TIMUR,3215112004.0,MARGASARI,32.15.26,KARAWANG TIMUR,32.15.26.2005,MARGASARI,0.0,MENIT,2021.0,15442
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215112.0,KARAWANG TIMUR,3215112002.0,WARUNGBAMBU,32.15.26,KARAWANG TIMUR,32.15.26.2006,WARUNGBAMBU,0.0,MENIT,2021.0,15443
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215112.0,KARAWANG TIMUR,3215112003.0,KONDANGJAYA,32.15.26,KARAWANG TIMUR,32.15.26.2007,KONDANGJAYA,0.0,MENIT,2021.0,15444
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215112.0,KARAWANG TIMUR,3215112008.0,TEGAL SAWAH,32.15.26,KARAWANG TIMUR,32.15.26.2008,TEGAL SAWAH,15.0,MENIT,2021.0,15445
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215032.0,TELUKJAMBE BARAT,3215032005.0,MARGAKAYA,32.15.27,TELUKJAMBE BARAT,32.15.27.2001,MARGAKAYA,0.0,MENIT,2021.0,15446
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215032.0,TELUKJAMBE BARAT,3215032004.0,MARGAMULYA,32.15.27,TELUKJAMBE BARAT,32.15.27.2002,MARGAMULYA,30.0,MENIT,2021.0,15447
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215032.0,TELUKJAMBE BARAT,3215032006.0,KALANGLIGAR,32.15.27,TELUKJAMBE BARAT,32.15.27.2003,KALANGLIGAR,15.0,MENIT,2021.0,15448
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215032.0,TELUKJAMBE BARAT,3215032009.0,MEKARMULYA,32.15.27,TELUKJAMBE BARAT,32.15.27.2004,MEKARMULYA,20.0,MENIT,2021.0,15449
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215032.0,TELUKJAMBE BARAT,3215032010.0,PARUNGSARI,32.15.27,TELUKJAMBE BARAT,32.15.27.2005,PARUNGSARI,0.0,MENIT,2021.0,15450
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215032.0,TELUKJAMBE BARAT,3215032007.0,KARANGMULYA,32.15.27,TELUKJAMBE BARAT,32.15.27.2006,KARANGMULYA,20.0,MENIT,2021.0,15451
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215032.0,TELUKJAMBE BARAT,3215032003.0,WANASARI,32.15.27,TELUKJAMBE BARAT,32.15.27.2007,WANASARI,0.0,MENIT,2021.0,15452
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215032.0,TELUKJAMBE BARAT,3215032002.0,WANAKERTA,32.15.27,TELUKJAMBE BARAT,32.15.27.2008,WANAKERTA,1.0,MENIT,2021.0,15453
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215032.0,TELUKJAMBE BARAT,3215032001.0,WANAJAYA,32.15.27,TELUKJAMBE BARAT,32.15.27.2009,WANAJAYA,0.0,MENIT,2021.0,15454
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215032.0,TELUKJAMBE BARAT,3215032008.0,MULYAJAYA,32.15.27,TELUKJAMBE BARAT,32.15.27.2010,MULYAJAYA,40.0,MENIT,2021.0,15455
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215011.0,TEGALWARU,3215011002.0,CIGUNUNGSARI,32.15.28,TEGALWARU,32.15.28.2001,CIGUNUNGSARI,15.0,MENIT,2021.0,15456
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215011.0,TEGALWARU,3215011004.0,WARGASETRA,32.15.28,TEGALWARU,32.15.28.2002,WARGASETRA,15.0,MENIT,2021.0,15457
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215011.0,TEGALWARU,3215011003.0,MEKARBUANA,32.15.28,TEGALWARU,32.15.28.2003,MEKARBUANA,1.0,MENIT,2021.0,15458
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215011.0,TEGALWARU,3215011005.0,CINTALAKSANA,32.15.28,TEGALWARU,32.15.28.2004,CINTALAKSANA,5.0,MENIT,2021.0,15459
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215011.0,TEGALWARU,3215011006.0,CINTAWARGI,32.15.28,TEGALWARU,32.15.28.2005,CINTAWARGI,10.0,MENIT,2021.0,15460
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215011.0,TEGALWARU,3215011007.0,CINTALANGGENG,32.15.28,TEGALWARU,32.15.28.2006,CINTALANGGENG,10.0,MENIT,2021.0,15461
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215011.0,TEGALWARU,3215011009.0,KUTALANGGENG,32.15.28,TEGALWARU,32.15.28.2007,KUTALANGGENG,10.0,MENIT,2021.0,15462
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215011.0,TEGALWARU,3215011008.0,KUTAMANEUH,32.15.28,TEGALWARU,32.15.28.2008,KUTAMANEUH,20.0,MENIT,2021.0,15463
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215011.0,TEGALWARU,3215011001.0,CIPURWASARI,32.15.28,TEGALWARU,32.15.28.2009,CIPURWASARI,15.0,MENIT,2021.0,15464
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215051.0,PURWASARI,3215051007.0,DARAWOLONG,32.15.29,PURWASARI,32.15.29.2001,DARAWOLONG,3.0,MENIT,2021.0,15465
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215051.0,PURWASARI,3215051005.0,TEGALSARI,32.15.29,PURWASARI,32.15.29.2002,TEGALSARI,10.0,MENIT,2021.0,15466
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215051.0,PURWASARI,3215051003.0,PURWASARI,32.15.29,PURWASARI,32.15.29.2003,PURWASARI,5.0,MENIT,2021.0,15467
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215051.0,PURWASARI,3215051001.0,MEKARJAYA,32.15.29,PURWASARI,32.15.29.2004,MEKARJAYA,0.0,MENIT,2021.0,15468
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215051.0,PURWASARI,3215051002.0,TAMELANG,32.15.29,PURWASARI,32.15.29.2005,TAMELANG,0.0,MENIT,2021.0,15469
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215051.0,PURWASARI,3215051008.0,CENGKONG,32.15.29,PURWASARI,32.15.29.2006,CENGKONG,0.0,MENIT,2021.0,15470
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215051.0,PURWASARI,3215051004.0,SUKASARI,32.15.29,PURWASARI,32.15.29.2007,SUKASARI,0.0,MENIT,2021.0,15471
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215051.0,PURWASARI,3215051006.0,KARANGSARI,32.15.29,PURWASARI,32.15.29.2008,KARANGSARI,0.0,MENIT,2021.0,15472
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215161.0,CILEBAR,3215161005.0,KERTAMUKTI,32.15.30,CILEBAR,32.15.30.2001,KERTAMUKTI,5.0,MENIT,2021.0,15473
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215161.0,CILEBAR,3215161007.0,RAWASARI,32.15.30,CILEBAR,32.15.30.2002,RAWASARI,0.0,MENIT,2021.0,15474
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215161.0,CILEBAR,3215161009.0,PUSAKAJAYA SELATAN,32.15.30,CILEBAR,32.15.30.2003,PUSAKAJAYA SELATAN,15.0,MENIT,2021.0,15475
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215161.0,CILEBAR,3215161006.0,CIKANDE,32.15.30,CILEBAR,32.15.30.2004,CIKANDE,0.0,MENIT,2021.0,15476
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215161.0,CILEBAR,3215161008.0,KOSAMBIBATU,32.15.30,CILEBAR,32.15.30.2005,KOSAMBIBATU,15.0,MENIT,2021.0,15477
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215161.0,CILEBAR,3215161010.0,PUSAKAJAYA UTARA,32.15.30,CILEBAR,32.15.30.2006,PUSAKAJAYA UTARA,15.0,MENIT,2021.0,15478
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215161.0,CILEBAR,3215161001.0,SUKARATU,32.15.30,CILEBAR,32.15.30.2007,SUKARATU,20.0,MENIT,2021.0,15479
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215161.0,CILEBAR,3215161002.0,CIPTAMARGI,32.15.30,CILEBAR,32.15.30.2008,CIPTAMARGI,20.0,MENIT,2021.0,15480
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215161.0,CILEBAR,3215161004.0,MEKARPOHACI,32.15.30,CILEBAR,32.15.30.2009,MEKARPOHACI,40.0,MENIT,2021.0,15481
32.0,JAWA BARAT,3215.0,KABUPATEN KARAWANG,3215161.0,CILEBAR,3215161003.0,TANJUNGSARI,32.15.30,CILEBAR,32.15.30.2010,TANJUNGSARI,5.0,MENIT,2021.0,15482
